,species,sepal_length,sepal_width,petal_length,petal_width
species,0.0,8.33374068187279e-05,0.714929358224844,0.14079502009335923,1.8664300488089607
sepal_length,8.33374068187279e-05,0.0,0.20548692274983427,1.6583821755610513,9.344948542119977e-05
sepal_width,0.714929358224844,0.20548692274983427,0.0,0.4291140748025519,4.098555365297215e-05
petal_length,0.14079502009335923,1.6583821755610513,0.4291140748025519,0.0,2.531497640443075
petal_width,1.8664300488089607,9.344948542119977e-05,4.098555365297215e-05,2.531497640443075,0.0
