gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,countrycode,locality,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue,,,,
1324201525,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24756819431789111,Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,,SPECIES,Craspedacusta sowerbii Lankester,1880,IE,Scarriff Harbour,d2b97690-bfd6-11de-b279-d52977ace833,52.905556,-8.528611,100,,,,,,2013-08-01T00:00:00Z,1,8,2013,4408321,4408321,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.47568194317891E+016,,,CC_BY_4_0,,P. Joyce,,,2018-07-06T23:17:00.250Z,,TAXON_MATCH_FUZZY,COORDINATE_ROUNDED,,
1324201524,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24096605481212775,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa quercus,,SPECIES,Lasiocampa quercus (Linnaeus, 1758),IE,Inis MeánInis Meán,d2b97690-bfd6-11de-b279-d52977ace833,53.074576,-9.587331,100,,,,,,2014-07-24T00:00:00Z,24,7,2014,1734826,1734826,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.40966054812128E+016,,,CC_BY_4_0,,Gregory Woulahan,,,2018-07-06T23:19:32.690Z,,COORDINATE_ROUNDED,,,
1324201523,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24096605481212777,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa quercus,,SPECIES,Lasiocampa quercus (Linnaeus, 1758),IE,Inis MeánInis Meán,d2b97690-bfd6-11de-b279-d52977ace833,53.091452,-9.564277,100,,,,,,2014-07-24T00:00:00Z,24,7,2014,1734826,1734826,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.40966054812128E+016,,,CC_BY_4_0,,Gregory Woulahan,,,2018-07-06T23:19:32.621Z,,COORDINATE_ROUNDED,,,
1324201522,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24096605481212774,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa quercus,,SPECIES,Lasiocampa quercus (Linnaeus, 1758),IE,Inis MeánInis Meán,d2b97690-bfd6-11de-b279-d52977ace833,53.084269,-9.569956,100,,,,,,2014-07-23T00:00:00Z,23,7,2014,1734826,1734826,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.40966054812128E+016,,,CC_BY_4_0,,Gregory Woulahan,,,2018-07-06T23:19:32.630Z,,COORDINATE_ROUNDED,,,
1324201521,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24096605481212763,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Tyria,Tyria jacobaeae,,SPECIES,Tyria jacobaeae (Linnaeus, 1758),IE,Inis MeánInis MeánInis Meán,d2b97690-bfd6-11de-b279-d52977ace833,53.083385,-9.594609,100,,,,,,2014-07-21T00:00:00Z,21,7,2014,5115777,5115777,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.40966054812128E+016,,,CC_BY_4_0,,Gregory Woulahan,,,2018-07-06T23:23:52.348Z,,COORDINATE_ROUNDED,,,
1324201520,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24096605481212771,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa quercus,,SPECIES,Lasiocampa quercus (Linnaeus, 1758),IE,Inis MeánInis Meán,d2b97690-bfd6-11de-b279-d52977ace833,53.084397,-9.587408,100,,,,,,2014-07-23T00:00:00Z,23,7,2014,1734826,1734826,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.40966054812128E+016,,,CC_BY_4_0,,Gregory Woulahan,,,2018-07-06T23:19:32.643Z,,COORDINATE_ROUNDED,,,
1324201519,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24096605481212766,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Tyria,Tyria jacobaeae,,SPECIES,Tyria jacobaeae (Linnaeus, 1758),IE,Inis MeánInis MeánInis Meán,d2b97690-bfd6-11de-b279-d52977ace833,53.078478,-9.599994,100,,,,,,2014-07-21T00:00:00Z,21,7,2014,5115777,5115777,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.40966054812128E+016,,,CC_BY_4_0,,Gregory Woulahan,,,2018-07-06T23:23:52.607Z,,COORDINATE_ROUNDED,,,
1324201518,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24096605481212750,Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Zygaena,Zygaena filipendulae,,SPECIES,Zygaena filipendulae (Linnaeus, 1758),IE,Inis MeánInis MeánInis MeánInis Meán,d2b97690-bfd6-11de-b279-d52977ace833,53.071742,-9.582869,100,,,,,,2014-07-24T00:00:00Z,24,7,2014,5107219,5107219,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.40966054812128E+016,,,CC_BY_4_0,,Gregory Woulahan,,,2018-07-06T23:24:16.061Z,,COORDINATE_ROUNDED,,,
1324201517,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24096605481212769,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa quercus,,SPECIES,Lasiocampa quercus (Linnaeus, 1758),IE,Inis MeánInis Meán,d2b97690-bfd6-11de-b279-d52977ace833,53.087456,-9.566162,100,,,,,,2014-07-20T00:00:00Z,20,7,2014,1734826,1734826,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.40966054812128E+016,,,CC_BY_4_0,,Gregory Woulahan,,,2018-07-06T23:19:32.717Z,,COORDINATE_ROUNDED,,,
1324201516,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24096605481212780,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Rhagium,Rhagium bifasciatum,,SPECIES,Rhagium bifasciatum Fabricius,1775,IE,Lough Bane Westmeath,d2b97690-bfd6-11de-b279-d52977ace833,53.743213,-7.38165,100,,,,,,2013-06-12T00:00:00Z,12,6,2013,1149909,1149909,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.40966054812128E+016,,,CC_BY_4_0,,Peter Foss,,,2018-07-06T23:22:12.598Z,,COORDINATE_ROUNDED,,,
