gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,countrycode,locality,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
30948895,835727b6-f762-11e1-a439-00145eb45e9a,30948895,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus idaeus,,SPECIES,Rubus idaeus L.,ES,SETCASES, camí a Ulldeter,32498aba-d8d4-4202-ae39-d795577cdc4a,42.403538,2.330384,,,,,,,1978-07-17T00:00:00Z,17,7,1978,2993094,2993094,HUMAN_OBSERVATION,HGI,S,5966,,,CC_BY_4_0,,R. Massip,,,2018-07-06T21:17:34.769Z,
30948893,835727b6-f762-11e1-a439-00145eb45e9a,30948893,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium angustifolium,,SPECIES,Trifolium angustifolium L.,ES,SANTA CRISTINA D'ARO,  en un prat a can Llac (Gavarres),32498aba-d8d4-4202-ae39-d795577cdc4a,41.87862,2.980658,,,,,,,1992-05-27T00:00:00Z,27,5,1992,5359395,5359395,HUMAN_OBSERVATION,HGI,S,5956,,,CC_BY_4_0,,Maynés-Mallol,,,2018-07-06T21:20:03.552Z,
30948891,835727b6-f762-11e1-a439-00145eb45e9a,30948891,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium cherleri,,SPECIES,Trifolium cherleri L.,ES,SANTA CRISTINA D'ARO, en un prat a can Llac (Gavarres),32498aba-d8d4-4202-ae39-d795577cdc4a,41.87862,2.980658,,,,,,,1992-05-28T00:00:00Z,28,5,1992,5358769,5358769,HUMAN_OBSERVATION,HGI,S,5954,,,CC_BY_4_0,,Maynés i Mallol,,,2018-07-06T21:20:03.558Z,
30948889,835727b6-f762-11e1-a439-00145eb45e9a,30948889,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium nigrescens,,SPECIES,Trifolium nigrescens Viv.,ES,SANTA CRISTINA D'ARO, cap a can Llac,32498aba-d8d4-4202-ae39-d795577cdc4a,41.87862,2.980658,,,,,,,1992-05-29T00:00:00Z,29,5,1992,5358774,5358774,HUMAN_OBSERVATION,HGI,S,5953,,,CC_BY_4_0,,Maynés-Mallol,,,2018-07-06T21:20:03.570Z,
30948887,835727b6-f762-11e1-a439-00145eb45e9a,30948887,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium arvense,,SPECIES,Trifolium arvense L.,ES,PALAMÓS, en un camp a la zona de la platja de Castell,32498aba-d8d4-4202-ae39-d795577cdc4a,41.860493,3.161388,,,,,,,1992-06-03T00:00:00Z,3,6,1992,5359246,5359246,HUMAN_OBSERVATION,HGI,S,5948,,,CC_BY_4_0,,Maynés i Mallol,,,2018-07-06T21:20:03.541Z,
30948885,835727b6-f762-11e1-a439-00145eb45e9a,30948885,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium pratense,,SPECIES,Trifolium pratense L.,ES,SANTA CRISTINA D'ARO, a les Gavarres,32498aba-d8d4-4202-ae39-d795577cdc4a,41.87862,2.980658,,,,,,,1992-05-27T00:00:00Z,27,5,1992,8324121,8324121,HUMAN_OBSERVATION,HGI,S,5946,,,CC_BY_4_0,,Maynés-Mallol,,,2018-07-06T21:20:03.602Z,
30948883,835727b6-f762-11e1-a439-00145eb45e9a,30948883,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Verbascum,Verbascum lychnitis,,SPECIES,Verbascum lychnitis L.,ES,OLOT, al marge del camp de can Jordà,32498aba-d8d4-4202-ae39-d795577cdc4a,42.13401,2.45423,,,,,,,1992-09-15T00:00:00Z,15,9,1992,3171947,3171947,HUMAN_OBSERVATION,HGI,S,5922,,,CC_BY_4_0,,L. Vilar i X. Vila,,,2018-07-06T21:20:35.475Z,
30948881,835727b6-f762-11e1-a439-00145eb45e9a,30948881,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trigonella,Trigonella corniculata,,SPECIES,Trigonella corniculata Sibth. & Sm.,FR,SALSES, vores de camins prop del Castell,32498aba-d8d4-4202-ae39-d795577cdc4a,42.855755,2.937516,,,,,,,1988-06-24T00:00:00Z,24,6,1988,8405343,8405343,HUMAN_OBSERVATION,HGI,S,5905,,,CC_BY_4_0,,X. Viñas,,,2018-07-06T21:20:07.712Z,
30948879,835727b6-f762-11e1-a439-00145eb45e9a,30948879,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Rorippa,Rorippa pyrenaica,,SPECIES,Rorippa pyrenaica (All.) Rchb.,FR,EL PORTÚS,32498aba-d8d4-4202-ae39-d795577cdc4a,42.495403,2.816181,,,,,,,1992-07-15T00:00:00Z,15,7,1992,3053399,3053399,HUMAN_OBSERVATION,HGI,S,5896,,,CC_BY_4_0,,L. Vilar,,,2018-07-06T21:17:32.016Z,,GEODETIC_DATUM_ASSUMED_WGS84
30948877,835727b6-f762-11e1-a439-00145eb45e9a,30948877,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica hederifolia,,SPECIES,Veronica hederifolia L.,ES,VILABLAREIX,32498aba-d8d4-4202-ae39-d795577cdc4a,41.950478,2.787592,,,,,,,1991-05-15T00:00:00Z,15,5,1991,3172070,3172070,HUMAN_OBSERVATION,HGI,S,5883,,,CC_BY_4_0,,L. Vilar,,,2018-07-06T21:20:37.978Z,,GEODETIC_DATUM_ASSUMED_WGS84
30948876,835727b6-f762-11e1-a439-00145eb45e9a,30948876,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica cymbalaria,,SPECIES,Veronica cymbalaria Bodard,ES,CALDES DE MALAVELLA, a l'estació del ffcc,32498aba-d8d4-4202-ae39-d795577cdc4a,41.842419,2.799995,,,,,,,1991-05-15T00:00:00Z,15,5,1991,3172068,3172068,HUMAN_OBSERVATION,HGI,S,5882,,,CC_BY_4_0,,L. Vilar,,,2018-07-06T21:20:38.042Z,
30948874,835727b6-f762-11e1-a439-00145eb45e9a,30948874,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium angustifolium,,SPECIES,Trifolium angustifolium L.,ES,LLAMBILLES, pradell d'anuals a Sant Cristòfol,32498aba-d8d4-4202-ae39-d795577cdc4a,41.955032,2.817742,,,,,,,1992-06-15T00:00:00Z,15,6,1992,5359395,5359395,HUMAN_OBSERVATION,HGI,S,5874,,,CC_BY_4_0,,X. Viñas,,,2018-07-06T21:20:03.543Z,
30948872,835727b6-f762-11e1-a439-00145eb45e9a,30948872,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Sinapis,Sinapis arvensis,,SPECIES,Sinapis arvensis L.,ES,CAMPRODON, en un camp de patates (Alta Garrotxa),32498aba-d8d4-4202-ae39-d795577cdc4a,42.043949,2.455002,,,,,,,1987-07-18T00:00:00Z,18,7,1987,3047598,3047598,HUMAN_OBSERVATION,HGI,S,577,,,CC_BY_4_0,,X. Viñas,,,2018-07-06T21:18:31.399Z,
30948870,835727b6-f762-11e1-a439-00145eb45e9a,30948870,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,Selaginella denticulata,,SPECIES,Selaginella denticulata (L.) Spring,ES,GIRONA, pel claustre de la catedral,32498aba-d8d4-4202-ae39-d795577cdc4a,41.955032,2.817742,,,,,,,1978-03-19T00:00:00Z,19,3,1978,3709954,3709954,HUMAN_OBSERVATION,HGI,S,5723,,,CC_BY_4_0,,L. Polo,,,2018-07-06T21:18:15.587Z,
30948868,835727b6-f762-11e1-a439-00145eb45e9a,30948868,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Scrophularia,Scrophularia auriculata,pseudoauriculata,SUBSPECIES,Scrophularia auriculata subsp. pseudoauriculata (Sennen) O.de Bolòs & J.Vigo,ES,CASTELLÓ D'EMPÚRIES, a les closes de la Gallinera,32498aba-d8d4-4202-ae39-d795577cdc4a,42.22084,3.077487,,,,,,,1995-05-09T00:00:00Z,9,5,1995,3738993,3170875,HUMAN_OBSERVATION,HGI,S,571,,,CC_BY_4_0,,S. Watt,,,2018-07-06T21:18:11.324Z,
30948866,835727b6-f762-11e1-a439-00145eb45e9a,30948866,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica officinalis,,SPECIES,Veronica officinalis L.,ES,VILABLAREIX, a El Perelló, a un bosc mixt d'alzines i roures,32498aba-d8d4-4202-ae39-d795577cdc4a,41.950478,2.787592,,,,,,,1977-05-15T00:00:00Z,15,5,1977,3172049,3172049,HUMAN_OBSERVATION,HGI,S,5593,,,CC_BY_4_0,,L. Vilar,,,2018-07-06T21:20:38.037Z
30948864,835727b6-f762-11e1-a439-00145eb45e9a,30948864,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica anagallis-aquatica,,SPECIES,Veronica anagallis-aquatica L.,ES,VILABLAREIX, al Perelló,32498aba-d8d4-4202-ae39-d795577cdc4a,41.955032,2.817742,,,,,,,1977-05-15T00:00:00Z,15,5,1977,3172086,3172086,HUMAN_OBSERVATION,HGI,S,5592,,,CC_BY_4_0,,L. Vilar,,,2018-07-06T21:20:37.995Z,
30948862,835727b6-f762-11e1-a439-00145eb45e9a,30948862,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica anagallis-aquatica,,SPECIES,Veronica anagallis-aquatica L.,ES,GIRONA, riba del Ter,32498aba-d8d4-4202-ae39-d795577cdc4a,41.955032,2.817742,,,,,,,1982-09-15T00:00:00Z,15,9,1982,3172086,3172086,HUMAN_OBSERVATION,HGI,S,5591,,,CC_BY_4_0,,J. Vicens,,,2018-07-06T21:20:38.022Z,
30948860,835727b6-f762-11e1-a439-00145eb45e9a,30948860,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica montana,,SPECIES,Veronica montana L.,ES,VILABLAREIX, a El Perelló, a la riera Masrocs,32498aba-d8d4-4202-ae39-d795577cdc4a,41.950478,2.787592,,,,,,,1977-05-15T00:00:00Z,15,5,1977,8328247,8328247,HUMAN_OBSERVATION,HGI,S,5590,,,CC_BY_4_0,,L. Vilar,,,2018-07-06T21:20:38.039Z
30948858,835727b6-f762-11e1-a439-00145eb45e9a,30948858,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium tomentosum,,SPECIES,Trifolium tomentosum L.,ES,MONT-RÀS,32498aba-d8d4-4202-ae39-d795577cdc4a,41.864971,3.179473,,,,,,,1992-04-24T00:00:00Z,24,4,1992,5359510,5359510,HUMAN_OBSERVATION,HGI,S,5562,,,CC_BY_4_0,,Maynés-Mallol,,,2018-07-06T21:20:03.842Z,,GEODETIC_DATUM_ASSUMED_WGS84
30948856,835727b6-f762-11e1-a439-00145eb45e9a,30948856,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,Rosa agrestis,,SPECIES,Rosa agrestis Savi,ES,PALAFRUGELL, a Calella,32498aba-d8d4-4202-ae39-d795577cdc4a,41.864971,3.179473,,,,,,,1992-05-06T00:00:00Z,6,5,1992,3002394,3002394,HUMAN_OBSERVATION,HGI,S,5555,,,CC_BY_4_0,,Mallol-Maynés,,,2018-07-06T21:17:32.189Z,
30948854,835727b6-f762-11e1-a439-00145eb45e9a,30948854,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium campestre,,SPECIES,Trifolium campestre Schreb.,ES,PALAFRUGELL, a Calella, en un erm,32498aba-d8d4-4202-ae39-d795577cdc4a,41.864971,3.179473,,,,,,,1992-05-06T00:00:00Z,6,5,1992,5359477,5359477,HUMAN_OBSERVATION,HGI,S,5552,,,CC_BY_4_0,,Maynés i Mallol,,,2018-07-06T21:20:03.552Z
30948852,835727b6-f762-11e1-a439-00145eb45e9a,30948852,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium stellatum,,SPECIES,Trifolium stellatum L.,ES,PALAFRUGELL, cap a Calella,32498aba-d8d4-4202-ae39-d795577cdc4a,41.864971,3.179473,,,,,,,1992-05-06T00:00:00Z,6,5,1992,5359037,5359037,HUMAN_OBSERVATION,HGI,S,5551,,,CC_BY_4_0,,Maynés-Mallol,,,2018-07-06T21:20:03.811Z,
30948850,835727b6-f762-11e1-a439-00145eb45e9a,30948850,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium glomeratum,,SPECIES,Trifolium glomeratum L.,ES,MONT-RÀS,32498aba-d8d4-4202-ae39-d795577cdc4a,41.864971,3.179473,,,,,,,1992-05-04T00:00:00Z,4,5,1992,5358694,5358694,HUMAN_OBSERVATION,HGI,S,5518,,,CC_BY_4_0,,Maynés-Mallol,,,2018-07-06T21:20:03.584Z,,GEODETIC_DATUM_ASSUMED_WGS84
30948848,835727b6-f762-11e1-a439-00145eb45e9a,30948848,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cytisus,Cytisus scoparius,scoparius,SUBSPECIES,Sarothamnus scoparius subsp. scoparius,ES,SANT SADURNÍ DE L'HEURA, rodalies de Puig d'Arques (Gavarres),32498aba-d8d4-4202-ae39-d795577cdc4a,41.865093,2.93849,,,,,,,1992-04-30T00:00:00Z,30,4,1992,7302752,5354656,HUMAN_OBSERVATION,HGI,S,5511,,,CC_BY_4_0,,Maynés-Mallol,,,2018-07-06T21:17:58.830Z,
30948846,835727b6-f762-11e1-a439-00145eb45e9a,30948846,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Nasturtium,Nasturtium officinale,,SPECIES,Rorippa nasturtium-aquaticum (L.) Hayek,ES,CALONGE, a la riera,32498aba-d8d4-4202-ae39-d795577cdc4a,41.865097,3.058982,,,,,,,1992-05-30T00:00:00Z,30,5,1992,3047558,5708806,HUMAN_OBSERVATION,HGI,S,5504,,,CC_BY_4_0,,Maynés-Mallol,,,2018-07-06T21:17:32.022Z,
30948844,835727b6-f762-11e1-a439-00145eb45e9a,30948844,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica arvensis,,SPECIES,Veronica arvensis L.,ES,MONT-RAS,32498aba-d8d4-4202-ae39-d795577cdc4a,41.864971,3.179473,,,,,,,1992-04-24T00:00:00Z,24,4,1992,3172048,3172048,HUMAN_OBSERVATION,HGI,S,5493,,,CC_BY_4_0,,Maynés-Mallol,,,2018-07-06T21:20:37.989Z,,GEODETIC_DATUM_ASSUMED_WGS84
30948842,835727b6-f762-11e1-a439-00145eb45e9a,30948842,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Scorpiurus,Scorpiurus muricatus,,SPECIES,Scorpiurus muricatus L.,ES,SANTA CRISTINA D'ARO,32498aba-d8d4-4202-ae39-d795577cdc4a,41.775024,2.938576,,,,,,,1991-06-05T00:00:00Z,5,6,1991,5358302,5358302,HUMAN_OBSERVATION,HGI,S,5449,,,CC_BY_4_0,,Maynés i Mallol,,,2018-07-06T21:18:09.571Z,,GEODETIC_DATUM_ASSUMED_WGS84
30948840,835727b6-f762-11e1-a439-00145eb45e9a,30948840,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Sinapis,Sinapis alba,,SPECIES,Sinapis alba L.,ES,BESALÚ, en un conreu [subsp. mairei (H. Lindb. fil.) Maire],32498aba-d8d4-4202-ae39-d795577cdc4a,42.224968,2.695794,,,,,,,1987-05-21T00:00:00Z,21,5,1987,3047621,3047621,HUMAN_OBSERVATION,HGI,S,544,,,CC_BY_4_0,,X. Viñas,,,2018-07-06T21:18:31.399Z,
30948838,835727b6-f762-11e1-a439-00145eb45e9a,30948838,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium subterraneum,,SPECIES,Trifolium subterraneum L.,ES,FORALLAC, sembrat en una sureda pasturada de Fitor,32498aba-d8d4-4202-ae39-d795577cdc4a,41.865097,3.058982,,,,,,,1992-04-15T00:00:00Z,15,4,1992,5359330,5359330,HUMAN_OBSERVATION,HGI,S,5432,,,CC_BY_4_0,,L. Vilar,,,2018-07-06T21:20:03.863Z,
30948836,835727b6-f762-11e1-a439-00145eb45e9a,30948836,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Sinapis,Sinapis arvensis,,SPECIES,Sinapis arvensis L.,ES,BEUDA, en un conreu,32498aba-d8d4-4202-ae39-d795577cdc4a,42.224968,2.695794,,,,,,,1986-05-14T00:00:00Z,14,5,1986,3047598,3047598,HUMAN_OBSERVATION,HGI,S,541,,,CC_BY_4_0,,X. Viñas,,,2018-07-06T21:18:31.393Z,
30948834,835727b6-f762-11e1-a439-00145eb45e9a,30948834,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica officinalis,,SPECIES,Veronica officinalis L.,ES,FORALLAC, prop del mas del Grosos,32498aba-d8d4-4202-ae39-d795577cdc4a,41.878609,3.052968,,,,,,,1995-05-20T00:00:00Z,20,5,1995,3172049,3172049,HUMAN_OBSERVATION,HGI,S,539,,,CC_BY_4_0,,Maynés-Mallol,,,2018-07-06T21:20:38.046Z,
30948832,835727b6-f762-11e1-a439-00145eb45e9a,30948832,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica anagallis-aquatica,,SPECIES,Veronica anagallis-aquatica L.,ES,SANTA CRISTINA D'ARO,32498aba-d8d4-4202-ae39-d795577cdc4a,41.865097,3.058982,,,,,,,1991-04-15T00:00:00Z,15,4,1991,3172086,3172086,HUMAN_OBSERVATION,HGI,S,5205,,,CC_BY_4_0,,Mallol-Maynés,,,2018-07-06T21:20:38.011Z,,GEODETIC_DATUM_ASSUMED_WGS84
30948830,835727b6-f762-11e1-a439-00145eb45e9a,30948830,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Scrophularia,Scrophularia peregrina,,SPECIES,Scrophularia peregrina L.,ES,MONT-RAS,32498aba-d8d4-4202-ae39-d795577cdc4a,41.955036,3.179726,,,,,,,1991-04-15T00:00:00Z,15,4,1991,3170862,3170862,HUMAN_OBSERVATION,HGI,S,5194,,,CC_BY_4_0,,Maynés-Mallol,,,2018-07-06T21:18:11.342Z,,GEODETIC_DATUM_ASSUMED_WGS84
30948828,835727b6-f762-11e1-a439-00145eb45e9a,30948828,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium rubens,,SPECIES,Trifolium rubens L.,ES,LA VAL D'EN BAS, al coll d'Uria,32498aba-d8d4-4202-ae39-d795577cdc4a,42.13401,2.45423,,,,,,,1976-06-29T00:00:00Z,29,6,1976,5359249,5359249,HUMAN_OBSERVATION,HGI,S,5143,,,CC_BY_4_0,,ex  Herb. M. Ibarz,,,2018-07-06T21:20:03.582Z,
30948826,835727b6-f762-11e1-a439-00145eb45e9a,30948826,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium montanum,,SPECIES,Trifolium montanum L.,ES,LA VALL D'EN BAS, cap a el Puigsacalm,32498aba-d8d4-4202-ae39-d795577cdc4a,42.13401,2.45423,,,,,,,1976-07-04T00:00:00Z,4,7,1976,5359047,5359047,HUMAN_OBSERVATION,HGI,S,5142,,,CC_BY_4_0,,ex  Herb. M. Ibarz,,,2018-07-06T21:20:03.585Z,
30948825,835727b6-f762-11e1-a439-00145eb45e9a,30948825,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium campestre,,SPECIES,Trifolium campestre Schreb.,ES,SANT FELIU DE PALLEROLS, prop del Santuari de la Salut,32498aba-d8d4-4202-ae39-d795577cdc4a,42.043949,2.455002,,,,,,,1983-06-15T00:00:00Z,15,6,1983,5359477,5359477,HUMAN_OBSERVATION,HGI,S,5141,,,CC_BY_4_0,,ex  Herb. M. Ibarz,,,2018-07-06T21:20:03.597Z,
30948823,835727b6-f762-11e1-a439-00145eb45e9a,30948823,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium aureum,,SPECIES,Trifolium aureum Pollich,ES,LA VALL D'EN BAS, camí de Coll d'Uria a Falgars,32498aba-d8d4-4202-ae39-d795577cdc4a,42.13401,2.45423,,,,,,,1976-06-29T00:00:00Z,29,6,1976,5359060,5359060,HUMAN_OBSERVATION,HGI,S,5140,,,CC_BY_4_0,,ex  Herb. M. Ibarz,,,2018-07-06T21:20:03.551Z,
30948822,835727b6-f762-11e1-a439-00145eb45e9a,30948822,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium repens,,SPECIES,Trifolium repens L.,ES,LA VALL D'EN BAS,32498aba-d8d4-4202-ae39-d795577cdc4a,42.13401,2.45423,,,,,,,1981-07-15T00:00:00Z,15,7,1981,5358748,5358748,HUMAN_OBSERVATION,HGI,S,5139,,,CC_BY_4_0,,ex  Herb. M. Ibarz,,,2018-07-06T21:20:03.584Z,,GEODETIC_DATUM_ASSUMED_WGS84
30948819,835727b6-f762-11e1-a439-00145eb45e9a,30948819,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium medium,medium,VARIETY,Trifolium medium var. medium,ES,LA VALL D'EN BAS, cap a el coll d'Uria,32498aba-d8d4-4202-ae39-d795577cdc4a,42.13401,2.45423,,,,,,,1976-06-15T00:00:00Z,15,6,1976,6309158,5358812,HUMAN_OBSERVATION,HGI,S,5138,,,CC_BY_4_0,,ex  Herb. M. Ibarz,,,2018-07-06T21:20:03.580Z,
30948817,835727b6-f762-11e1-a439-00145eb45e9a,30948817,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lotus,Lotus maritimus,,SPECIES,Tetragonolobus maritimus (L.) Roth,ES,LA VALL D'EN BAS,32498aba-d8d4-4202-ae39-d795577cdc4a,42.13401,2.45423,,,,,,,1976-06-05T00:00:00Z,5,6,1976,2963137,5356973,HUMAN_OBSERVATION,HGI,S,5129,,,CC_BY_4_0,,ex  Herb. M. Ibarz,,,2018-07-06T21:19:40.325Z,,GEODETIC_DATUM_ASSUMED_WGS84
30948816,835727b6-f762-11e1-a439-00145eb45e9a,30948816,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trigonella,Trigonella foenum-graecum,,SPECIES,Trigonella foenum-graecum L.,ES,LA VALL D'EN BAS, a Hostalets,32498aba-d8d4-4202-ae39-d795577cdc4a,42.13401,2.45423,,,,,,,1983-04-15T00:00:00Z,15,4,1983,5360475,5360475,HUMAN_OBSERVATION,HGI,S,5117,,,CC_BY_4_0,,ex  Herb. M. Ibarz,,,2018-07-06T21:20:07.678Z,
30948814,835727b6-f762-11e1-a439-00145eb45e9a,30948814,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Spartium,Spartium junceum,,SPECIES,Spartium junceum L.,ES,VALL D'EN BAS,32498aba-d8d4-4202-ae39-d795577cdc4a,42.13401,2.45423,,,,,,,,,,,5355395,5355395,HUMAN_OBSERVATION,HGI,S,5115,,,CC_BY_4_0,,ex  Herb. M. Ibarz,,,2018-07-06T21:18:43.563Z,,GEODETIC_DATUM_ASSUMED_WGS84
30948812,835727b6-f762-11e1-a439-00145eb45e9a,30948812,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cytisus,Cytisus scoparius,scoparius,SUBSPECIES,Sarothamnus scoparius subsp. scoparius,ES,LA VALL D'EN BAS,32498aba-d8d4-4202-ae39-d795577cdc4a,42.13401,2.45423,,,,,,,1983-04-15T00:00:00Z,15,4,1983,7302752,5354656,HUMAN_OBSERVATION,HGI,S,5114,,,CC_BY_4_0,,ex  Herb. M. Ibarz,,,2018-07-06T21:17:58.916Z,,GEODETIC_DATUM_ASSUMED_WGS84
30948810,835727b6-f762-11e1-a439-00145eb45e9a,30948810,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Verbascum,Verbascum boerhavii,,SPECIES,Verbascum boerhavii L.,ES,GIRONA, al camí de la font del Boix,32498aba-d8d4-4202-ae39-d795577cdc4a,41.955032,2.817742,,,,,,,1952-05-04T00:00:00Z,4,5,1952,8309638,8309638,HUMAN_OBSERVATION,HGI,S,5030,,,CC_BY_4_0,,ex  Herb. M. Ibarz,,,2018-07-06T21:20:35.477Z,
30948808,835727b6-f762-11e1-a439-00145eb45e9a,30948808,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Verbascum,Verbascum sinuatum,,SPECIES,Verbascum sinuatum L.,ES,GIRONA, a les Pedreres,32498aba-d8d4-4202-ae39-d795577cdc4a,41.955032,2.817742,,,,,,,1951-07-18T00:00:00Z,18,7,1951,3171946,3171946,HUMAN_OBSERVATION,HGI,S,5029,,,CC_BY_4_0,,ex  Herb. M. Ibarz,,,2018-07-06T21:20:35.492Z,
30948806,835727b6-f762-11e1-a439-00145eb45e9a,30948806,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Verbascum,Verbascum blattaria,,SPECIES,Verbascum blattaria L.,ES,LA VALL D'EN BAS,32498aba-d8d4-4202-ae39-d795577cdc4a,42.13401,2.45423,,,,,,,1981-07-15T00:00:00Z,15,7,1981,3171943,3171943,HUMAN_OBSERVATION,HGI,S,4994,,,CC_BY_4_0,,ex  Herb. M. Ibarz,,,2018-07-06T21:20:35.493Z,,GEODETIC_DATUM_ASSUMED_WGS84
30948804,835727b6-f762-11e1-a439-00145eb45e9a,30948804,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Nasturtium,Nasturtium officinale,,SPECIES,Rorippa nasturtium-aquaticum (L.) Hayek,ES,MAÇANET DE LA SELVA,32498aba-d8d4-4202-ae39-d795577cdc4a,41.774647,2.697932,,,,,,,1984-05-15T00:00:00Z,15,5,1984,3047558,5708806,HUMAN_OBSERVATION,HGI,S,4974,,,CC_BY_4_0,,L. Vilar,,,2018-07-06T21:17:32.002Z,,GEODETIC_DATUM_ASSUMED_WGS84
30948803,835727b6-f762-11e1-a439-00145eb45e9a,30948803,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica persica,,SPECIES,Veronica persica Poir.,ES,LA VALL D'EN BAS,32498aba-d8d4-4202-ae39-d795577cdc4a,42.13401,2.45423,,,,,,,1983-03-15T00:00:00Z,15,3,1983,3172077,3172077,HUMAN_OBSERVATION,HGI,S,4966,,,CC_BY_4_0,,ex  Herb. M. Ibarz,,,2018-07-06T21:20:38.030Z,,GEODETIC_DATUM_ASSUMED_WGS84
30948801,835727b6-f762-11e1-a439-00145eb45e9a,30948801,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica chamaedrys,,SPECIES,Veronica chamaedrys L.,ES,LA VALL D'EN BAS, a Sant Esteve,32498aba-d8d4-4202-ae39-d795577cdc4a,42.13401,2.45423,,,,,,,1983-04-15T00:00:00Z,15,4,1983,7874883,7874883,HUMAN_OBSERVATION,HGI,S,4930,,,CC_BY_4_0,,ex  Herb. M. Ibarz,,,2018-07-06T21:20:38.010Z,
