gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,countrycode,locality,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
30949762,835727b6-f762-11e1-a439-00145eb45e9a,30949762,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia benghalensis,,SPECIES,Vicia benghalensis L.,ES,PALAU-SAVERDERA, a Sant Pere de Rodes,32498aba-d8d4-4202-ae39-d795577cdc4a,42.315292,3.180747,,,,,,,1970-05-18T00:00:00Z,18,5,1970,2975384,2975384,HUMAN_OBSERVATION,HGI,S,4098,,,CC_BY_4_0,,L. Polo,,,2018-07-06T21:20:41.443Z,
30949761,835727b6-f762-11e1-a439-00145eb45e9a,30949761,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia tetrasperma,,SPECIES,Vicia tetrasperma (L.) Schreb.,ES,LLAGOSTERA, a can Palet Ferrer,32498aba-d8d4-4202-ae39-d795577cdc4a,41.774899,2.818253,,,,,,,1982-05-19T00:00:00Z,19,5,1982,2975083,2975083,HUMAN_OBSERVATION,HGI,S,4097,,,CC_BY_4_0,,X. Viñas,,,2018-07-06T21:20:41.890Z,
30949760,835727b6-f762-11e1-a439-00145eb45e9a,30949760,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia tetrasperma,,SPECIES,Vicia tetrasperma (L.) Schreb.,ES,LLAGOSTERA, a can Palet Ferrer,32498aba-d8d4-4202-ae39-d795577cdc4a,41.774899,2.818253,,,,,,,1982-05-19T00:00:00Z,19,5,1982,2975083,2975083,HUMAN_OBSERVATION,HGI,S,4096,,,CC_BY_4_0,,X. Viñas,,,2018-07-06T21:20:41.891Z,
30949759,835727b6-f762-11e1-a439-00145eb45e9a,30949759,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia parviflora,gracilis,VARIETY,Vicia tetrasperma var. gracilis (Loisel.) Asch. & Graebn.,ES,LA JONQUERA, als estanys de Canadal,32498aba-d8d4-4202-ae39-d795577cdc4a,42.405476,2.937965,,,,,,,1987-05-15T00:00:00Z,15,5,1987,2975085,2974776,HUMAN_OBSERVATION,HGI,S,4095,,,CC_BY_4_0,,I. Llorente,,,2018-07-06T21:20:41.899Z,
30949758,835727b6-f762-11e1-a439-00145eb45e9a,30949758,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia sepium,,SPECIES,Vicia sepium L.,ES,LLAGOSTERA, a la capçalera del torrent Noguera,32498aba-d8d4-4202-ae39-d795577cdc4a,41.774899,2.818253,,,,,,,1982-04-06T00:00:00Z,6,4,1982,2974786,2974786,HUMAN_OBSERVATION,HGI,S,4093,,,CC_BY_4_0,,X. Viñas,,,2018-07-06T21:20:41.889Z,
30949757,835727b6-f762-11e1-a439-00145eb45e9a,30949757,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia sepium,,SPECIES,Vicia sepium L.,ES,CANET D'ADRI, cap a Rocacorba,32498aba-d8d4-4202-ae39-d795577cdc4a,42.044842,2.696655,,,,,,,1977-04-28T00:00:00Z,28,4,1977,2974786,2974786,HUMAN_OBSERVATION,HGI,S,4092,,,CC_BY_4_0,,L. Polo,,,2018-07-06T21:20:41.909Z,
30949756,835727b6-f762-11e1-a439-00145eb45e9a,30949756,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia sepium,,SPECIES,Vicia sepium L.,ES,GIRONA, a Sant Daniel,32498aba-d8d4-4202-ae39-d795577cdc4a,41.955032,2.817742,,,,,,,1980-05-25T00:00:00Z,25,5,1980,2974786,2974786,HUMAN_OBSERVATION,HGI,S,4091,,,CC_BY_4_0,,R. Massip,,,2018-07-06T21:20:41.885Z,
30949755,835727b6-f762-11e1-a439-00145eb45e9a,30949755,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia sativa,,SPECIES,Vicia sativa L.,ES,GIRONA, cap a Els Àngels,32498aba-d8d4-4202-ae39-d795577cdc4a,41.955032,2.817742,,,,,,,1975-04-14T00:00:00Z,14,4,1975,2975014,2975014,HUMAN_OBSERVATION,HGI,S,4090,,,CC_BY_4_0,,L. Polo,,,2018-07-06T21:20:41.882Z,
30949754,835727b6-f762-11e1-a439-00145eb45e9a,30949754,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia sativa,,SPECIES,Vicia sativa L.,ES,GIRONA, camí de la font d'en Fita, en un camp de conreu,32498aba-d8d4-4202-ae39-d795577cdc4a,41.955032,2.817742,,,,,,,1976-05-01T00:00:00Z,1,5,1976,2975014,2975014,HUMAN_OBSERVATION,HGI,S,4089,,,CC_BY_4_0,,MC. Iglesias,,,2018-07-06T21:20:41.881Z
30949753,835727b6-f762-11e1-a439-00145eb45e9a,30949753,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia sativa,sativa,SUBSPECIES,Vicia sativa subsp. sativa,ES,LLAGOSTERA, a Santa Ceclina, pel camí de la font,32498aba-d8d4-4202-ae39-d795577cdc4a,41.774899,2.818253,,,,,,,1981-05-10T00:00:00Z,10,5,1981,7068379,2975014,HUMAN_OBSERVATION,HGI,S,4088,,,CC_BY_4_0,,X. Viñas,,,2018-07-06T21:20:41.893Z
